ID,Entry name
jgi|Aspni7|1085170,G3XVY6
jgi|Aspni7|1085176,G3XVM8
jgi|Aspni7|1085183,G3XVI9
jgi|Aspni7|1085193,G3XVM0
jgi|Aspni7|1085232,G3XW45
jgi|Aspni7|1085245,G3XVF8
jgi|Aspni7|1085263,G3XVR3
jgi|Aspni7|1085278,G3XWJ5
jgi|Aspni7|1085284,G3XVB3
jgi|Aspni7|1085285,G3XW51
jgi|Aspni7|1085327,G3XV45
jgi|Aspni7|1085336,G3XVB7
jgi|Aspni7|1085438,G3XVH1
jgi|Aspni7|1085457,G3XV97
jgi|Aspni7|1085499,G3XVP1
jgi|Aspni7|1085523,G3XV62
jgi|Aspni7|1085614,G3XW04
jgi|Aspni7|1085647,G3XWQ1
jgi|Aspni7|1085665,G3XWT1
jgi|Aspni7|1085672,G3XWL7
jgi|Aspni7|1085685,G3XWV8
jgi|Aspni7|1085687,G3XWQ0
jgi|Aspni7|1085699,G3XWN2
jgi|Aspni7|1085726,G3XWQ6
jgi|Aspni7|1085748,G3XWV9
jgi|Aspni7|1085749,G3XWU4
jgi|Aspni7|1085752,G3XWT6
jgi|Aspni7|1085764,G3XWT8
jgi|Aspni7|1085776,G3XWN3
jgi|Aspni7|1085784,G3XWS0
jgi|Aspni7|1085788,G3XWT7
jgi|Aspni7|1085792,G3XWL2
jgi|Aspni7|1085799,G3XWP3
jgi|Aspni7|1085806,G3XWQ5
jgi|Aspni7|1085835,G3XWN4
jgi|Aspni7|1085842,G3XWU5
jgi|Aspni7|1085843,G3XWW0
jgi|Aspni7|1085850,G3XWR1
jgi|Aspni7|1085858,G3XWN9
jgi|Aspni7|1085888,G3XWN5
jgi|Aspni7|1085890,G3YH69
jgi|Aspni7|1085903,G3XWP1
jgi|Aspni7|1085967,G3XX49
jgi|Aspni7|1086014,G3Y3Y0
jgi|Aspni7|1086025,G3XLY7
jgi|Aspni7|1086057,G3XX76
jgi|Aspni7|1086114,G3XYB2
jgi|Aspni7|1086123,G3XXM9
